[00:00:00.003] (639c) INFO   Max Width: 512, Max_Height: 193
[00:00:00.015] (639c) INFO   Unicode: 9618, Char: ▒ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0, 0.8341969), (0.03125, 1)
[00:00:00.045] (639c) INFO   Unicode: 124, Char: | | Metrics: (77, 864) | Bearings: (212, 534) | Advance: 500 | BoundingBox: (0.87109375, 0.8601036), (0.875, 1)
[00:00:00.047] (639c) INFO   Unicode: 402, Char: ƒ | Metrics: (475, 863) | Bearings: (7, 523) | Advance: 500 | BoundingBox: (0.8847656, 0.8601036), (0.9140625, 1)
[00:00:00.048] (639c) INFO   Unicode: 106, Char: j | Metrics: (313, 840) | Bearings: (71, 500) | Advance: 500 | BoundingBox: (0.9238281, 0.865285), (0.9433594, 1)
[00:00:00.049] (639c) INFO   Unicode: 201, Char: É | Metrics: (369, 830) | Bearings: (91, 830) | Advance: 500 | BoundingBox: (0.953125, 0.865285), (0.9765625, 1)
[00:00:00.052] (639c) INFO   Unicode: 255, Char: ÿ | Metrics: (425, 823) | Bearings: (36, 487) | Advance: 500 | BoundingBox: (0, 0.67357516), (0.025390625, 0.8082901)
[00:00:00.055] (639c) INFO   Unicode: 214, Char: Ö | Metrics: (443, 807) | Bearings: (29, 781) | Advance: 500 | BoundingBox: (0.03515625, 0.6787565), (0.0625, 0.8082901)
[00:00:00.058] (639c) INFO   Unicode: 220, Char: Ü | Metrics: (404, 807) | Bearings: (48, 781) | Advance: 500 | BoundingBox: (0.072265625, 0.6787565), (0.09765625, 0.8082901)
[00:00:00.060] (639c) INFO   Unicode: 199, Char: Ç | Metrics: (414, 802) | Bearings: (46, 464) | Advance: 500 | BoundingBox: (0.107421875, 0.6787565), (0.1328125, 0.8082901)
[00:00:00.063] (639c) INFO   Unicode: 81, Char: Q | Metrics: (443, 797) | Bearings: (29, 467) | Advance: 500 | BoundingBox: (0.14257813, 0.6787565), (0.16992188, 0.8082901)
[00:00:00.065] (639c) INFO   Unicode: 209, Char: Ñ | Metrics: (390, 796) | Bearings: (55, 796) | Advance: 500 | BoundingBox: (0.1796875, 0.6787565), (0.203125, 0.8082901)
[00:00:00.068] (639c) INFO   Unicode: 196, Char: Ä | Metrics: (482, 794) | Bearings: (9, 794) | Advance: 500 | BoundingBox: (0.21289063, 0.6787565), (0.2421875, 0.8082901)
[00:00:00.069] (639c) INFO   Unicode: 182, Char: ¶ | Metrics: (419, 790) | Bearings: (28, 460) | Advance: 500 | BoundingBox: (0.25195313, 0.6787565), (0.27734375, 0.8082901)
[00:00:00.071] (639c) INFO   Unicode: 36, Char: $ | Metrics: (393, 790) | Bearings: (54, 596) | Advance: 500 | BoundingBox: (0.28710938, 0.6787565), (0.31054688, 0.8082901)
[00:00:00.074] (639c) INFO   Unicode: 64, Char: @ | Metrics: (428, 768) | Bearings: (40, 498) | Advance: 500 | BoundingBox: (0.3203125, 0.6839378), (0.34570313, 0.8082901)
[00:00:00.077] (639c) INFO   Unicode: 197, Char: Å | Metrics: (482, 749) | Bearings: (9, 749) | Advance: 500 | BoundingBox: (0.35546875, 0.68911916), (0.38476563, 0.8082901)
[00:00:00.080] (639c) INFO   Unicode: 167, Char: § | Metrics: (363, 730) | Bearings: (68, 536) | Advance: 500 | BoundingBox: (0.39453125, 0.68911916), (0.41601563, 0.8082901)
[00:00:00.081] (639c) INFO   Unicode: 162, Char: ¢ | Metrics: (401, 716) | Bearings: (49, 522) | Advance: 500 | BoundingBox: (0.42578125, 0.69430053), (0.45117188, 0.8082901)
[00:00:00.082] (639c) INFO   Unicode: 8730, Char: √ | Metrics: (453, 712) | Bearings: (29, 686) | Advance: 500 | BoundingBox: (0.4609375, 0.69430053), (0.48828125, 0.8082901)
[00:00:00.085] (639c) INFO   Unicode: 229, Char: å | Metrics: (374, 707) | Bearings: (58, 685) | Advance: 500 | BoundingBox: (0.49804688, 0.69430053), (0.5214844, 0.8082901)
[00:00:00.088] (639c) INFO   Unicode: 948, Char: δ | Metrics: (421, 705) | Bearings: (39, 681) | Advance: 500 | BoundingBox: (0.53125, 0.69430053), (0.5566406, 0.8082901)
[00:00:00.090] (639c) INFO   Unicode: 242, Char: ò | Metrics: (420, 704) | Bearings: (40, 682) | Advance: 500 | BoundingBox: (0.56640625, 0.69430053), (0.5917969, 0.8082901)
[00:00:00.091] (639c) INFO   Unicode: 243, Char: ó | Metrics: (420, 704) | Bearings: (40, 682) | Advance: 500 | BoundingBox: (0.6015625, 0.69430053), (0.6269531, 0.8082901)
[00:00:00.093] (639c) INFO   Unicode: 233, Char: é | Metrics: (415, 704) | Bearings: (40, 682) | Advance: 500 | BoundingBox: (0.63671875, 0.69430053), (0.6621094, 0.8082901)
[00:00:00.095] (639c) INFO   Unicode: 232, Char: è | Metrics: (415, 704) | Bearings: (40, 682) | Advance: 500 | BoundingBox: (0.671875, 0.69430053), (0.6972656, 0.8082901)
[00:00:00.097] (639c) INFO   Unicode: 223, Char: ß | Metrics: (405, 704) | Bearings: (71, 682) | Advance: 500 | BoundingBox: (0.70703125, 0.69430053), (0.7324219, 0.8082901)
[00:00:00.098] (639c) INFO   Unicode: 236, Char: ì | Metrics: (396, 704) | Bearings: (54, 682) | Advance: 500 | BoundingBox: (0.7421875, 0.69430053), (0.765625, 0.8082901)
[00:00:00.100] (639c) INFO   Unicode: 237, Char: í | Metrics: (396, 704) | Bearings: (54, 682) | Advance: 500 | BoundingBox: (0.7753906, 0.69430053), (0.7988281, 0.8082901)
[00:00:00.101] (639c) INFO   Unicode: 98, Char: b | Metrics: (389, 704) | Bearings: (71, 682) | Advance: 500 | BoundingBox: (0.80859375, 0.69430053), (0.83203125, 0.8082901)
[00:00:00.103] (639c) INFO   Unicode: 100, Char: d | Metrics: (389, 704) | Bearings: (40, 682) | Advance: 500 | BoundingBox: (0.8417969, 0.69430053), (0.8652344, 0.8082901)
[00:00:00.105] (639c) INFO   Unicode: 224, Char: à | Metrics: (374, 704) | Bearings: (58, 682) | Advance: 500 | BoundingBox: (0.875, 0.69430053), (0.8984375, 0.8082901)
[00:00:00.107] (639c) INFO   Unicode: 225, Char: á | Metrics: (374, 704) | Bearings: (58, 682) | Advance: 500 | BoundingBox: (0.9082031, 0.69430053), (0.9316406, 0.8082901)
[00:00:00.108] (639c) INFO   Unicode: 249, Char: ù | Metrics: (361, 703) | Bearings: (68, 683) | Advance: 500 | BoundingBox: (0.94140625, 0.69430053), (0.9628906, 0.8082901)
[00:00:00.110] (639c) INFO   Unicode: 250, Char: ú | Metrics: (361, 703) | Bearings: (68, 683) | Advance: 500 | BoundingBox: (0, 0.53367877), (0.021484375, 0.64766836)
[00:00:00.111] (639c) INFO   Unicode: 108, Char: l | Metrics: (396, 699) | Bearings: (54, 677) | Advance: 500 | BoundingBox: (0.03125, 0.53367877), (0.0546875, 0.64766836)
[00:00:00.112] (639c) INFO   Unicode: 244, Char: ô | Metrics: (420, 698) | Bearings: (40, 676) | Advance: 500 | BoundingBox: (0.064453125, 0.53367877), (0.08984375, 0.64766836)
[00:00:00.114] (639c) INFO   Unicode: 234, Char: ê | Metrics: (415, 698) | Bearings: (40, 676) | Advance: 500 | BoundingBox: (0.099609375, 0.53367877), (0.125, 0.64766836)
[00:00:00.116] (639c) INFO   Unicode: 238, Char: î | Metrics: (396, 698) | Bearings: (54, 676) | Advance: 500 | BoundingBox: (0.13476563, 0.53367877), (0.15820313, 0.64766836)
[00:00:00.118] (639c) INFO   Unicode: 226, Char: â | Metrics: (374, 698) | Bearings: (58, 676) | Advance: 500 | BoundingBox: (0.16796875, 0.53367877), (0.19140625, 0.64766836)
[00:00:00.119] (639c) INFO   Unicode: 251, Char: û | Metrics: (361, 697) | Bearings: (68, 677) | Advance: 500 | BoundingBox: (0.20117188, 0.53367877), (0.22265625, 0.64766836)
[00:00:00.120] (639c) INFO   Unicode: 102, Char: f | Metrics: (419, 693) | Bearings: (63, 693) | Advance: 500 | BoundingBox: (0.23242188, 0.53367877), (0.2578125, 0.64766836)
[00:00:00.121] (639c) INFO   Unicode: 107, Char: k | Metrics: (407, 693) | Bearings: (71, 693) | Advance: 500 | BoundingBox: (0.26757813, 0.53367877), (0.29296875, 0.64766836)
[00:00:00.122] (639c) INFO   Unicode: 104, Char: h | Metrics: (361, 693) | Bearings: (71, 693) | Advance: 500 | BoundingBox: (0.30273438, 0.53367877), (0.32421875, 0.64766836)
[00:00:00.124] (639c) INFO   Unicode: 105, Char: i | Metrics: (396, 681) | Bearings: (54, 659) | Advance: 500 | BoundingBox: (0.33398438, 0.5388601), (0.35742188, 0.64766836)
[00:00:00.126] (639c) INFO   Unicode: 246, Char: ö | Metrics: (420, 666) | Bearings: (40, 644) | Advance: 500 | BoundingBox: (0.3671875, 0.5388601), (0.39257813, 0.64766836)
[00:00:00.129] (639c) INFO   Unicode: 235, Char: ë | Metrics: (415, 666) | Bearings: (40, 644) | Advance: 500 | BoundingBox: (0.40234375, 0.5388601), (0.42773438, 0.64766836)
[00:00:00.131] (639c) INFO   Unicode: 239, Char: ï | Metrics: (396, 666) | Bearings: (54, 644) | Advance: 500 | BoundingBox: (0.4375, 0.5388601), (0.4609375, 0.64766836)
[00:00:00.135] (639c) INFO   Unicode: 228, Char: ä | Metrics: (374, 666) | Bearings: (58, 644) | Advance: 500 | BoundingBox: (0.47070313, 0.5388601), (0.49414063, 0.64766836)
[00:00:00.137] (639c) INFO   Unicode: 252, Char: ü | Metrics: (361, 665) | Bearings: (68, 645) | Advance: 500 | BoundingBox: (0.50390625, 0.5388601), (0.5253906, 0.64766836)
[00:00:00.138] (639c) INFO   Unicode: 934, Char: Φ | Metrics: (426, 659) | Bearings: (42, 659) | Advance: 500 | BoundingBox: (0.53515625, 0.5388601), (0.5605469, 0.64766836)
[00:00:00.140] (639c) INFO   Unicode: 241, Char: ñ | Metrics: (361, 657) | Bearings: (71, 657) | Advance: 500 | BoundingBox: (0.5703125, 0.5388601), (0.5917969, 0.64766836)
[00:00:00.142] (639c) INFO   Unicode: 79, Char: O | Metrics: (443, 646) | Bearings: (29, 620) | Advance: 500 | BoundingBox: (0.6015625, 0.54404145), (0.62890625, 0.64766836)
[00:00:00.143] (639c) INFO   Unicode: 920, Char: Θ | Metrics: (443, 646) | Bearings: (29, 620) | Advance: 500 | BoundingBox: (0.6386719, 0.54404145), (0.6660156, 0.64766836)
[00:00:00.145] (639c) INFO   Unicode: 67, Char: C | Metrics: (414, 646) | Bearings: (46, 620) | Advance: 500 | BoundingBox: (0.67578125, 0.54404145), (0.7011719, 0.64766836)
[00:00:00.146] (639c) INFO   Unicode: 71, Char: G | Metrics: (409, 646) | Bearings: (46, 620) | Advance: 500 | BoundingBox: (0.7109375, 0.54404145), (0.7363281, 0.64766836)
[00:00:00.148] (639c) INFO   Unicode: 48, Char: 0 | Metrics: (408, 646) | Bearings: (46, 620) | Advance: 500 | BoundingBox: (0.74609375, 0.54404145), (0.7714844, 0.64766836)
[00:00:00.151] (639c) INFO   Unicode: 56, Char: 8 | Metrics: (398, 646) | Bearings: (51, 620) | Advance: 500 | BoundingBox: (0.78125, 0.54404145), (0.8046875, 0.64766836)
[00:00:00.152] (639c) INFO   Unicode: 83, Char: S | Metrics: (390, 646) | Bearings: (55, 620) | Advance: 500 | BoundingBox: (0.8144531, 0.54404145), (0.8378906, 0.64766836)
[00:00:00.154] (639c) INFO   Unicode: 51, Char: 3 | Metrics: (383, 646) | Bearings: (59, 620) | Advance: 500 | BoundingBox: (0.84765625, 0.54404145), (0.87109375, 0.64766836)
[00:00:00.157] (639c) INFO   Unicode: 37, Char: % | Metrics: (464, 645) | Bearings: (18, 619) | Advance: 500 | BoundingBox: (0.8808594, 0.54404145), (0.91015625, 0.64766836)
[00:00:00.158] (639c) INFO   Unicode: 63, Char: ? | Metrics: (318, 645) | Bearings: (92, 621) | Advance: 500 | BoundingBox: (0.9199219, 0.54404145), (0.9394531, 0.64766836)
[00:00:00.160] (639c) INFO   Unicode: 231, Char: ç | Metrics: (402, 644) | Bearings: (49, 306) | Advance: 500 | BoundingBox: (0.94921875, 0.54404145), (0.9746094, 0.64766836)
[00:00:00.162] (639c) INFO   Unicode: 103, Char: g | Metrics: (389, 643) | Bearings: (40, 307) | Advance: 500 | BoundingBox: (0, 0.40414506), (0.0234375, 0.507772)
[00:00:00.165] (639c) INFO   Unicode: 38, Char: & | Metrics: (442, 641) | Bearings: (31, 625) | Advance: 500 | BoundingBox: (0.033203125, 0.40414506), (0.060546875, 0.507772)
[00:00:00.166] (639c) INFO   Unicode: 112, Char: p | Metrics: (389, 639) | Bearings: (71, 309) | Advance: 500 | BoundingBox: (0.0703125, 0.40414506), (0.09375, 0.507772)
[00:00:00.168] (639c) INFO   Unicode: 113, Char: q | Metrics: (389, 639) | Bearings: (40, 309) | Advance: 500 | BoundingBox: (0.103515625, 0.40414506), (0.12695313, 0.507772)
[00:00:00.170] (639c) INFO   Unicode: 966, Char: φ | Metrics: (448, 637) | Bearings: (26, 307) | Advance: 500 | BoundingBox: (0.13671875, 0.40414506), (0.1640625, 0.507772)
[00:00:00.171] (639c) INFO   Unicode: 57, Char: 9 | Metrics: (396, 635) | Bearings: (51, 631) | Advance: 500 | BoundingBox: (0.17382813, 0.40414506), (0.19726563, 0.507772)
[00:00:00.173] (639c) INFO   Unicode: 54, Char: 6 | Metrics: (395, 635) | Bearings: (54, 609) | Advance: 500 | BoundingBox: (0.20703125, 0.40414506), (0.23046875, 0.507772)
[00:00:00.175] (639c) INFO   Unicode: 191, Char: ¿ | Metrics: (318, 635) | Bearings: (92, 295) | Advance: 500 | BoundingBox: (0.24023438, 0.40414506), (0.25976563, 0.507772)
[00:00:00.177] (639c) INFO   Unicode: 937, Char: Ω | Metrics: (464, 633) | Bearings: (18, 633) | Advance: 500 | BoundingBox: (0.26953125, 0.40414506), (0.29882813, 0.507772)
[00:00:00.178] (639c) INFO   Unicode: 50, Char: 2 | Metrics: (388, 633) | Bearings: (57, 633) | Advance: 500 | BoundingBox: (0.30859375, 0.40414506), (0.33203125, 0.507772)
[00:00:00.180] (639c) INFO   Unicode: 121, Char: y | Metrics: (425, 632) | Bearings: (36, 296) | Advance: 500 | BoundingBox: (0.34179688, 0.40414506), (0.3671875, 0.507772)
[00:00:00.181] (639c) INFO   Unicode: 85, Char: U | Metrics: (404, 632) | Bearings: (48, 606) | Advance: 500 | BoundingBox: (0.37695313, 0.40414506), (0.40234375, 0.507772)
[00:00:00.182] (639c) INFO   Unicode: 53, Char: 5 | Metrics: (376, 632) | Bearings: (66, 606) | Advance: 500 | BoundingBox: (0.41210938, 0.40414506), (0.43554688, 0.507772)
[00:00:00.183] (639c) INFO   Unicode: 74, Char: J | Metrics: (366, 632) | Bearings: (54, 606) | Advance: 500 | BoundingBox: (0.4453125, 0.40414506), (0.46679688, 0.507772)
[00:00:00.184] (639c) INFO   Unicode: 33, Char: ! | Metrics: (134, 631) | Bearings: (181, 607) | Advance: 500 | BoundingBox: (0.4765625, 0.40414506), (0.484375, 0.507772)
[00:00:00.185] (639c) INFO   Unicode: 188, Char: ¼ | Metrics: (459, 630) | Bearings: (18, 622) | Advance: 500 | BoundingBox: (0.49414063, 0.40414506), (0.5214844, 0.507772)
[00:00:00.187] (639c) INFO   Unicode: 163, Char: £ | Metrics: (410, 630) | Bearings: (45, 630) | Advance: 500 | BoundingBox: (0.53125, 0.40414506), (0.5566406, 0.507772)
[00:00:00.188] (639c) INFO   Unicode: 68, Char: D | Metrics: (406, 630) | Bearings: (54, 620) | Advance: 500 | BoundingBox: (0.56640625, 0.40414506), (0.5917969, 0.507772)
[00:00:00.190] (639c) INFO   Unicode: 66, Char: B | Metrics: (397, 630) | Bearings: (54, 620) | Advance: 500 | BoundingBox: (0.6015625, 0.40414506), (0.625, 0.507772)
[00:00:00.191] (639c) INFO   Unicode: 161, Char: ¡ | Metrics: (134, 630) | Bearings: (182, 300) | Advance: 500 | BoundingBox: (0.6347656, 0.40414506), (0.6425781, 0.507772)
[00:00:00.192] (639c) INFO   Unicode: 181, Char: µ | Metrics: (358, 629) | Bearings: (71, 299) | Advance: 500 | BoundingBox: (0.65234375, 0.40414506), (0.6738281, 0.507772)
[00:00:00.194] (639c) INFO   Unicode: 189, Char: ½ | Metrics: (465, 626) | Bearings: (17, 626) | Advance: 500 | BoundingBox: (0.68359375, 0.40414506), (0.7128906, 0.507772)
[00:00:00.196] (639c) INFO   Unicode: 82, Char: R | Metrics: (408, 625) | Bearings: (55, 625) | Advance: 500 | BoundingBox: (0.72265625, 0.40414506), (0.7480469, 0.507772)
[00:00:00.197] (639c) INFO   Unicode: 80, Char: P | Metrics: (382, 625) | Bearings: (73, 625) | Advance: 500 | BoundingBox: (0.7578125, 0.40414506), (0.78125, 0.507772)
[00:00:00.198] (639c) INFO   Unicode: 65, Char: A | Metrics: (482, 619) | Bearings: (9, 619) | Advance: 500 | BoundingBox: (0.7910156, 0.40932643), (0.8203125, 0.507772)
[00:00:00.199] (639c) INFO   Unicode: 89, Char: Y | Metrics: (475, 619) | Bearings: (13, 619) | Advance: 500 | BoundingBox: (0.8300781, 0.40932643), (0.859375, 0.507772)
[00:00:00.200] (639c) INFO   Unicode: 165, Char: ¥ | Metrics: (475, 619) | Bearings: (13, 619) | Advance: 500 | BoundingBox: (0.8691406, 0.40932643), (0.8984375, 0.507772)
[00:00:00.202] (639c) INFO   Unicode: 86, Char: V | Metrics: (475, 619) | Bearings: (13, 619) | Advance: 500 | BoundingBox: (0.9082031, 0.40932643), (0.9375, 0.507772)
[00:00:00.203] (639c) INFO   Unicode: 198, Char: Æ | Metrics: (455, 619) | Bearings: (27, 619) | Advance: 500 | BoundingBox: (0.9472656, 0.40932643), (0.9746094, 0.507772)
[00:00:00.204] (639c) INFO   Unicode: 88, Char: X | Metrics: (450, 619) | Bearings: (25, 619) | Advance: 500 | BoundingBox: (0, 0.27979273), (0.02734375, 0.37823832)
[00:00:00.205] (639c) INFO   Unicode: 35, Char: # | Metrics: (446, 619) | Bearings: (27, 619) | Advance: 500 | BoundingBox: (0.037109375, 0.27979273), (0.064453125, 0.37823832)
[00:00:00.206] (639c) INFO   Unicode: 77, Char: M | Metrics: (436, 619) | Bearings: (32, 619) | Advance: 500 | BoundingBox: (0.07421875, 0.27979273), (0.1015625, 0.37823832)
[00:00:00.207] (639c) INFO   Unicode: 87, Char: W | Metrics: (436, 619) | Bearings: (32, 619) | Advance: 500 | BoundingBox: (0.111328125, 0.27979273), (0.13867188, 0.37823832)
[00:00:00.208] (639c) INFO   Unicode: 52, Char: 4 | Metrics: (430, 619) | Bearings: (36, 619) | Advance: 500 | BoundingBox: (0.1484375, 0.27979273), (0.17382813, 0.37823832)
[00:00:00.209] (639c) INFO   Unicode: 75, Char: K | Metrics: (427, 619) | Bearings: (64, 619) | Advance: 500 | BoundingBox: (0.18359375, 0.27979273), (0.20898438, 0.37823832)
[00:00:00.210] (639c) INFO   Unicode: 84, Char: T | Metrics: (422, 619) | Bearings: (39, 619) | Advance: 500 | BoundingBox: (0.21875, 0.27979273), (0.24414063, 0.37823832)
[00:00:00.210] (639c) INFO   Unicode: 72, Char: H | Metrics: (410, 619) | Bearings: (45, 619) | Advance: 500 | BoundingBox: (0.25390625, 0.27979273), (0.27929688, 0.37823832)
[00:00:00.211] (639c) INFO   Unicode: 931, Char: Σ | Metrics: (407, 619) | Bearings: (40, 619) | Advance: 500 | BoundingBox: (0.2890625, 0.27979273), (0.31445313, 0.37823832)
[00:00:00.212] (639c) INFO   Unicode: 915, Char: Γ | Metrics: (406, 619) | Bearings: (54, 619) | Advance: 500 | BoundingBox: (0.32421875, 0.27979273), (0.34960938, 0.37823832)
[00:00:00.212] (639c) INFO   Unicode: 90, Char: Z | Metrics: (401, 619) | Bearings: (54, 619) | Advance: 500 | BoundingBox: (0.359375, 0.27979273), (0.38476563, 0.37823832)
[00:00:00.213] (639c) INFO   Unicode: 55, Char: 7 | Metrics: (392, 619) | Bearings: (63, 619) | Advance: 500 | BoundingBox: (0.39453125, 0.27979273), (0.41796875, 0.37823832)
[00:00:00.214] (639c) INFO   Unicode: 78, Char: N | Metrics: (390, 619) | Bearings: (55, 619) | Advance: 500 | BoundingBox: (0.42773438, 0.27979273), (0.45117188, 0.37823832)
[00:00:00.215] (639c) INFO   Unicode: 116, Char: t | Metrics: (387, 619) | Bearings: (63, 597) | Advance: 500 | BoundingBox: (0.4609375, 0.27979273), (0.484375, 0.37823832)
[00:00:00.215] (639c) INFO   Unicode: 76, Char: L | Metrics: (369, 619) | Bearings: (91, 619) | Advance: 500 | BoundingBox: (0.49414063, 0.27979273), (0.5175781, 0.37823832)
[00:00:00.216] (639c) INFO   Unicode: 69, Char: E | Metrics: (369, 619) | Bearings: (91, 619) | Advance: 500 | BoundingBox: (0.52734375, 0.27979273), (0.55078125, 0.37823832)
[00:00:00.217] (639c) INFO   Unicode: 49, Char: 1 | Metrics: (363, 619) | Bearings: (75, 619) | Advance: 500 | BoundingBox: (0.5605469, 0.27979273), (0.58203125, 0.37823832)
[00:00:00.217] (639c) INFO   Unicode: 70, Char: F | Metrics: (351, 619) | Bearings: (91, 619) | Advance: 500 | BoundingBox: (0.5917969, 0.27979273), (0.61328125, 0.37823832)
[00:00:00.218] (639c) INFO   Unicode: 73, Char: I | Metrics: (322, 619) | Bearings: (89, 619) | Advance: 500 | BoundingBox: (0.6230469, 0.27979273), (0.6425781, 0.37823832)
[00:00:00.219] (639c) INFO   Unicode: 9577, Char: ╩ | Metrics: (510, 612) | Bearings: (-5, 1058) | Advance: 500 | BoundingBox: (0.65234375, 0.27979273), (0.68359375, 0.37823832)
[00:00:00.219] (639c) INFO   Unicode: 9575, Char: ╧ | Metrics: (510, 612) | Bearings: (-5, 1058) | Advance: 500 | BoundingBox: (0.6933594, 0.27979273), (0.7246094, 0.37823832)
[00:00:00.220] (639c) INFO   Unicode: 9565, Char: ╝ | Metrics: (351, 612) | Bearings: (-5, 1058) | Advance: 500 | BoundingBox: (0.734375, 0.27979273), (0.7558594, 0.37823832)
